Feature,Group_bona Mean,Group_bona Std,Group_fake Mean,Group_fake Std,Mean Difference,Z-Score,P-Value,Significant
chroma_1,0.623392427120155,0.06234010957862521,0.5708498868875969,0.08783892361172731,0.05254254023255811,42.889370161505006,0.0,True
chroma_2,0.6088241084689923,0.06505610950360252,0.5590112086957365,0.09437918693978757,0.04981289977325576,38.393388305344175,0.0,True
chroma_3,0.6091242149379844,0.06899888616456362,0.5621457253565891,0.10457941646947155,0.04697848958139528,33.36579720226045,0.0,True
chroma_4,0.6144400808294573,0.06923193390467063,0.5769793653468992,0.10624192050944407,0.03746071548255814,26.34017291126969,0.0,True
chroma_5,0.6200668920310077,0.06863058318572073,0.5898401491976745,0.10161530212809823,0.030226742833333264,21.852031334265895,0.0,True
chroma_6,0.6475812473992247,0.0719900422774508,0.6138090561589148,0.1005071940419856,0.033772191240309946,23.981360300384367,0.0,True
chroma_7,0.6674181431627907,0.07386087651417204,0.6323671177306202,0.09495291849185006,0.035051025432170535,25.22438251610811,0.0,True
chroma_8,0.6917706559224807,0.0662077351205038,0.6507818423139535,0.09156371069265629,0.04098881360852713,31.795267281682474,0.0,True
chroma_9,0.7008335587170543,0.05860639391860034,0.6598327420581395,0.0872292434642469,0.04100081665891486,34.61566460549869,0.0,True
chroma_10,0.6965010382364342,0.06072878717152569,0.6593513815600776,0.08709813358575515,0.03714965667635661,30.85311474911638,0.0,True
chroma_11,0.6869004596511629,0.06644497651629637,0.6389398190174419,0.0930237825937208,0.04796064063372096,36.84793840108138,0.0,True
chroma_12,0.6614216101666667,0.06877109001436073,0.6034815186085272,0.09067722910848859,0.057940091558139506,44.26516701103756,0.0,True
rms_mean,0.04457782272598648,0.013274312557062351,0.05198281034245697,0.018836333180986608,-0.0074049876164704875,-28.286957905538856,0.0,True
spectral_centroid_mean,1823.1378563316466,233.3402629008415,1738.6839359227088,271.08241464453255,84.45392040893785,20.08953241895445,0.0,True
spectral_bandwidth_mean,1762.768521857852,114.75965821747369,1631.210118121187,165.72219508367624,131.558403736665,57.61738800970447,0.0,True
spectral_rolloff_mean,3748.089382357657,390.5306606779189,3442.9612779562426,505.5708549863279,305.1281044014145,41.39842160213608,0.0,True
zcr_mean,0.11894760814269466,0.03193693280676822,0.12320095888720117,0.0332094782005779,-0.004253350744506515,-7.707478864230598,1.2878587085651816e-14,True
mfcc_1,-457.0555681666667,77.13174559976738,-453.1879090368217,95.43473196274225,-3.8676591298450376,-2.7108920253418574,0.006710247352571308,True
mfcc_2,113.26008233565891,22.183000305792294,133.77882232926356,35.06179442889404,-20.518739993604655,-44.304794981768616,0.0,True
mfcc_3,10.923873448404652,16.225670459493006,-0.4464454157786822,22.947668950370737,11.370318864183334,35.59339236027226,0.0,True
mfcc_4,11.11489824605465,9.276965079200478,14.231127803893605,15.891451573528743,-3.1162295578389543,-15.361986839693051,0.0,True
mfcc_5,13.255881802647288,9.037082202305069,9.890786301648895,16.4638340371648,3.365095500998393,16.401915246955788,0.0,True
mfcc_6,12.189401796237984,9.659671790508902,24.290611843825967,13.272751831956745,-12.101210047587983,-64.54228110090969,0.0,True
mfcc_7,-4.857945585023837,9.281328074642401,-9.089129094118023,15.374496463618353,4.231183509094186,21.26277698490542,0.0,True
mfcc_8,2.61931695829438,7.560914895012659,11.8959516128594,11.41391419569966,-9.27663465456502,-60.25473090352507,0.0,True
mfcc_9,-3.5108961625920156,5.942648227947304,-9.617295883499146,12.75485139085199,6.106399720907131,40.611821883082015,0.0,True
mfcc_10,0.9985280438424419,5.685164721693986,7.9898726494954255,9.806985361055416,-6.9913446056529835,-56.005627334856456,0.0,True
mfcc_11,-3.0494059555418604,6.459253895593846,-11.14324622531376,11.293476962554186,8.0938402697719,56.60660376362614,0.0,True
mfcc_12,-4.3052470616152485,6.232497501639716,1.0119604275006975,9.273139799700576,-5.317207489115946,-42.220828065946435,0.0,True
mfcc_13,-8.99507941393566,5.1783533041003,-15.709680682625583,10.288121451179162,6.714601268689924,54.01473307763604,0.0,True
mfcc_14,-7.882078532470154,5.983459947526602,-5.630164099233663,9.525352777732147,-2.2519144332364913,-17.954958452356863,0.0,True
mfcc_15,-10.371395978502713,5.470324653652972,-18.741104919933917,10.340680476465387,8.369708941431204,65.83852202462835,0.0,True
mfcc_16,-10.009518169647286,4.73833509636434,-7.941477751650425,8.630521776443917,-2.068040417996861,-19.227185765932997,0.0,True
mfcc_17,-10.189371564488527,4.411540343908013,-17.030568088333137,6.640990002180189,6.84119652384461,76.27189408935024,0.0,True
mfcc_18,-10.277458167717056,3.5455001660823546,-8.041765177839531,6.143952997313504,-2.235692989877524,-28.639381119129297,0.0,True
mfcc_19,-10.929574914282945,3.405172144379999,-18.10996781035659,5.555013886984666,7.180392896073645,99.21924942238036,0.0,True
mfcc_20,-11.199991727999999,3.2610868142241918,-9.855083116331393,5.488567195597131,-1.3449086116686058,-19.05800749739368,0.0,True
